mile;km;1,6093
ft;m;0,3048
in;m;0,0254
in;cm;2,54
km/h;m/s;0,2778
mph;km/h;1,609
mph;m/s;0,447
rpm;rad/s;0,105
G;m/s2;9,8
G;lb/s2;32,1
lb;N;4,45
lb;kg;0,4536
lb.ft;N.m;1,356
lb.ft/s;W;1,356
hp;ft.lb/s;550
hp;W;745,7
metrichp;hp;0,986
metrichp;W;735,5

rpm;rps;0,01666666667
rps;rpm;60
ratio;ratio;1

m/s2;m/s2;1
m/s2;grav;0,1019716213

grav;grav;1
grav;m/s2;9,80665

km/s;km/s;1
km/s;m/s;1000
km/s;km/h;3600

m/s;m/s;1
m/s;km/s;0,001
m/s;km/h;3,6

km/h;km/h;1
km/h;km/s;0,000278
km/h;m/s;0,28

h;h;1
h;min;60
h;s;3600

min;min;1
min;h;0,0166666667
min;s;60

s;s;1
s;h;0,0002777778
s;min;0,0166666667

/h;/h;1
/h;/m;60
/h;/s;3600

/m;/m;1
/m;/h;0,0166666667
/m;/s;60

/s;/s;1
/s;/h;0,0002777778
/s;/m;0,0166666667

km;km;1
km;m;1000
km;cm;100000

m;m;1
m;km;0,001
m;cm;100

cm;cm;1
cm;km;0,00001
cm;m;0,01

t;t;1
t;kg;1000
t;g;1000000
t;mg;1000000000

kg;kg;1
kg;t;0,001
kg;g;1000
kg;mg;1000000

g;g;1
g;t;0,000001
g;kg;0,001
g;mg;1000

mg;mg;1
mg;t;0,000000001
mg;kg;0,000001
mg;g;0,001
